ID	Name	Sex	Mathematics	Statistics	Psychology	StatisticsTest1	StatisticsTest2	InstructionMethod
1	Ohmura	Man	Dislike	Like	13	6	10	C
2	Honda	Man	Dislike	Like	14	10	13	B
3	Kawasaki	Man	Like	Like	7	6	8	B
4	Tamura	Man	Like	Like	12	10	15	A
5	Matsunaka	Man	Dislike	Dislike	10	5	8	B
6	Kokubo	Man	Dislike	Dislike	6	3	6	C
7	Shibahara	Man	Dislike	Dislike	8	5	9	A
8	Ide	Man	Dislike	Dislike	15	9	10	D
9	Tagami	Man	Dislike	Dislike	4	3	7	D
10	Matsuda	Man	Like	Dislike	14	3	3	D
11	Takaya	Woman	Like	Like	9	11	18	A
12	Sugiuchi	Woman	Dislike	Like	6	6	14	A
13	Wada	Woman	Like	Like	10	11	18	A
14	Aragaki	Woman	Dislike	Dislike	12	9	11	C
15	Ohdonari	Woman	Dislike	Like	5	7	12	B
16	Mizuta	Woman	Like	Dislike	12	5	5	D
17	Saitoh	Woman	Dislike	Dislike	8	8	7	C
18	Yamase	Woman	Dislike	Dislike	8	7	12	C
19	Satoh	Woman	Dislike	Dislike	12	7	7	B
20	Umahara	Woman	Dislike	Dislike	15	9	7	D
